DataStatus,UavIndex,TimeS,EastM,NorthM
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,20,154.37022897473457,160.41267819554184
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,22,179.33710275019055,175.75
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,24,203.87092368768924,189.91267819554184
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,26,227.99178882449237,202.95820393249937
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,28,251.7299635401966,215.05342302750967
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,30,275.1251363226427,226.45820393249937
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,32,298.2254415056265,237.5
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,34,321.08627404185194,248.54179606750066
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,36,343.76892549535035,259.94657697249033
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,38,366.3390748397588,272.0417960675006
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,40,388.86517122401347,285.08732180445816
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,42,411.41674852713265,299.25
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,44,434.06271320334616,314.58732180445816
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,46,456.8696475765043,331.0417960675007
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,48,479.9001703622908,348.44657697249033
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,50,503.2113947876232,366.5417960675006
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,2,52,526.8535222734579,385.0
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,3,12,81.36735368286227,-75.0
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,3,14,95.5946192744266,-94.90039412340124
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,3,16,109.32087628143067,-115.38624051153543
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,3,18,122.61954796496063,-136.96392285668043
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,3,20,135.57861849146158,-159.9923663550478
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,3,22,148.29763673747445,-184.6345628701615
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,3,24,160.88432627204125,-210.83555797851946
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,3,26,173.4509169597615,-238.32987286900115
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,3,28,186.11032310735814,-266.6773587273776
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,3,30,198.97229830238794,-295.3226412726224
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,3,32,212.1396978864521,-323.6701271309989
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,3,34,225.70497633989942,-351.16444202148057
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,3,36,239.74703885538494,-377.36543712983854
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,3,38,254.32855431617062,-402.00763364495214
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,3,40,269.4938211824684,-425.0360771433196
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,3,42,285.2672589605084,-446.61375948846455
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,3,44,301.652576625542,-467.09960587659884
SYNTHETIC_LITERATURE_INFORMED_NOT_NS3_RESULTS,3,46,318.63264631713776,-487.0
